xid,basis,name,path,depth,parent_xid,is_system
8ae53f93-f2bf-4a5c-9d8f-fb0c99aae1c6,"KNP 18 D13 1323","Pomiar maszyn prądu stałego o mocy do 500 kW","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1323",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
18f78258-2706-4c3f-a6cb-cf20e2452ae5,"KNP 18 D13 1324","Pomiar prądnic tachometrycznych, selsynów, elektromagnesów i luzowników","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1324",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
8a9e99f6-7c23-4826-93f4-f41216f1e892,"KNP 18 D13 1325","Pomiar agregatów prądotwórczych 3-fazowych niskiego napięcia","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1325",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
9869d6e9-a596-44aa-89ab-b3b31148f449,"KNP 18 D13 1326","Suszenie maszyn elektrycznych.","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1326",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
a0e7d7f2-30d5-41d1-a7dd-b4e6a5824133,"KNP 18 D13","( Rozdział 04 ) * Linie kablowe","KNP 18 D13 / KNP 18 D13",1,1be7e924-c095-4304-b31c-34c1408e035d,true
05c137ba-e3b7-4fd9-9651-283e2739c284,"KNP 18 D13 1327","Pomiar linii kablowych do 1kV","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1327",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
c675ef71-a079-4ccb-a70d-46a2839492b0,"KNP 18 D13 1328","Pomiary linii kablowych do 60 kV","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1328",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
bb9ac9a8-4f5c-4c5a-ab2c-964b87c8ebac,"KNP 18 D13 1329","Badania uzupełniające linii kablowej","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1329",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
3672f155-1230-4136-9f10-e08d6d01c921,"KNP 18 D13","( Rozdział 05 ) * Mierniki tablicowe","KNP 18 D13 / KNP 18 D13",1,1be7e924-c095-4304-b31c-34c1408e035d,true
f7832b5c-c382-4130-8189-85f1ff1dc627,"KNP 18 D13 1330","Pomiary amperomierzy i woltomierzy.","KNP 18 D13 / KNP 18 D13 / KNP 18 D13 1330",2,7d79de11-43d1-4371-9d0c-5efa83c948f6,true
